Title,Price_clean,Shipping_clean,Quantity_clean,Country
"HP 15.6"" Touch Intel Core i5-1235U 8GB 512GB SSD Silver Laptop Windows 11",6309353.96,1160785.64,0,United States
"Lenovo ThinkPad X1 Yoga Gen 6 32GB RAM 512GB SSD i7-1185G7 14"" UHD 4K  3840x2400",8783516.0,1556625.0,0,United States
"Apple MacBook Air 13"" 2020 M1 3.20GHz 8GB RAM 256GB SSD macOS - Value +",7395468.09,518423.37,0,Australia
"Dell Latitude 5500 Intel Core i5-8265U 1.60GHz 8GB RAM 15.6"" No HDD No OS",663993.96,1847527.08,0,United States
Microsoft Surface Book 13.5 i5-6300U @ 2.40GHz 8GB LPDDR3 RAM 256GB SSD,1677004.0,1010187.36,0,United States
"Dell Latitude 5500 Laptop - i5-8365U 16GB 512GB SSD Webcam - 15.6"" Touchscreen",3636276.0,1546662.6,1360,United States
~OVERSTOCK~ 15.6 Dell Latitude 5590 Laptop : Intel i5! 16GB RAM ~ 1TB NVME SSD!,3652049.8,1074444.84,0,United States
"Dell Latitude 5500 Intel i5 8365U 1.60GHz 16GB RAM 256GB SSD 15.6"" FHD Win 11",4168547.11,518423.37,331,Australia
"15.6"" Lenovo ThinkPad Laptop PC: Intel i5! 16GB RAM~480GB SSD! Windows 11 Pro!",4150169.8,1090550.72,0,United States
"~OVERSTOCK~ 14"" HP ProBook Laptop: Intel i5! 16GB RAM - 512GB SSD! Windows 10!",3120721.8,1057176.68,0,United States
"HP EliteBook 840 G8 Laptop Intel Core i5-1145G7 16GB 256 GB SSD 14"" Win 11 Pro",4748577.96,1109977.4,141,United States
"Microsoft Surface Laptop 4 3.0GHz i7-1185G7 8GB RAM 512GB SSD 15"" Black Win 11 C",4731973.96,668477.04,0,United States
HP ZBook 15u G3 15.6” Workstation Laptop Core i7 16GB RAM 256GB SSD Windows 10,4851190.68,1385935.88,0,United States
~CLEARANCE~ HP EliteBook Laptop: Intel i5! 16GB RAM~1 TB Storage! Windows 10 Pro,2904869.8,1050036.96,0,United States
"HP 17.3"" TOUCHSCREEN Laptop 12GB Six-Core Intel i3-1215U 4.40GHz 512GB SSD Win11",7378983.64,1668369.92,4068,United States
"15.6"" Dell Latitude Laptop PC: Intel i5 Quad Core! 32GB RAM ~ 512GB SSD! Webcam!",4482913.96,1194989.88,0,United States
"Lenovo IdeaPad Laptop Computer 15.6"" Intel Dual-Core, 20GB RAM 1TB SSD, Open Box",4632516.0,1303580.04,20,United States
"Lenovo IdeaPad Slim 3 15IRU8 15.6"" FHD Intel i5-1335U 16GB 512GB SSD W11H Laptop",5645360.0,1336455.96,0,United States
Lenovo ThinkPad E15 Gen 3 AMD Ryzen 5 8GB 256GB No OS Scratches,2905700.0,1247458.52,176,United States
"Microsoft Surface Pro 7+ Intel i5 1135G7 2.40GHz 8GB RAM 128GB SSD 12.3"" Win 11 ",4189707.24,518423.37,0,Australia
"14"" TouchScreen Dell Latitude Laptop PC: Intel i5! 24GB RAM~1TB SSD! Windows 11!",4947161.8,1021976.2,0,United States
"~OVERSTOCK~ 15.6"" Lenovo ThinkPad Laptop: Intel i5! 16GB RAM! 256GB SSD! Webcam!",2822513.96,1047380.32,0,United States
"Dell Precision 15.6"" Touchscreen Laptop Core i5 4.4GHz 8GB RAM 256GB SSD Win 10",4638161.36,1199971.08,510,United States
